Love Potion,Potions,24.25,124
Uglification Potion,Potions,9.64,532
Truth Potion,Potions,107.00,15
Eye of Newt,Ingredients,0.65,1352
Hen's teeth,Ingredients,94.99,16
Snake's finger nails,Ingredients,124.99,3
Hair of Fish,Ingredients,82.00,21
Magic Beans,Ingredients,45.49,42
Golden Eggs,Ingredients,24.99,47
Seven League Boots,Footwear,15.00,49
Glass Slippers,Footwear,65.99,54
Iron Slippers,Footwear,23.99,34
Boots (Cat Sized),Footwear,13.00,73
Cloak of Invisibility,Clothing,63.45,235
Red Riding Hood,Clothing,41.09,132
Self-Walking Pants,Clothing,29.89,67
Nettle Shirt,Clothing,8.99,941
Spider-silk Dress,Clothing,189.00,12
Sheep's Clothing,Armor,45.00,867
Gauntlets of Veracity,Armor,84.70,14
Phoenix Plumed Helmet,Armor,94.00,19
Shield of St. George,Armor,58.05,341
Cursed Spindle,Weapons,87.00,256
Poisoned Apple,Weapons,2.67,823
Excalibur,Weapons,1400.00,1
Magic Flute,Weapons,14.09,24
